page,section,component,current_path,decision,pillar,required_subject,orientation,aspect_ratio,minimum_resolution,final_filename,final_folder,alt_text,source_type,priority,notes
"Accueil","Hero — slide 1","HomeHeroSlider","/images/hero/hero-01.jpg","REPLACE","Architecture et projets d’envergure","Grand équipement public ou bâtiment institutionnel contemporain au Maroc; volume complet lisible; espace calme à gauche pour le titre","panoramic","16:9","2560x1440","hero-architecture-envergure.jpg","/images/hero/","Équipement public contemporain inscrit dans son contexte urbain","official project photograph or licensed contextual image","P0 critical","Photo actuelle: arcades et zellige patrimoniaux; source 2:3 très recadrée sur desktop; focal recommandé au tiers droit."
"Accueil","Hero — slide 2","HomeHeroSlider","/images/hero/hero-02.jpg","REPLACE","Valorisation foncière et territoriale","Vue aérienne ou oblique d’un foncier avec parcelles voies et contexte territorial clairement lisibles","panoramic","16:9","2560x1440","hero-valorisation-fonciere.jpg","/images/hero/","Vue territoriale d’un foncier et de ses trames d’aménagement","licensed contextual image or founder/company-owned photograph","P0 critical","Photo actuelle: cour intérieure patrimoniale; conserver une zone peu chargée à gauche et le site focal au centre-droit."
"Accueil","Hero — slide 3","HomeHeroSlider","/images/hero/hero-03.jpg","KEEP","Valorisation du patrimoine","Architecture patrimoniale marocaine ou restauration en cours avec matière constructive lisible","panoramic","16:9","2560x1440","hero-03.jpg","/images/hero/","Architecture patrimoniale marocaine et savoir-faire décoratifs","licensed contextual image","P0 critical","Sujet cohérent avec le pilier; maintien conditionné à la preuve de licence et au droit à l’image de la personne visible; recadrage vertical 2:3 très fort sur desktop."
"Accueil","Hero — slide 4","HomeHeroSlider","/images/hero/hero-04.jpg","REPLACE","Architecture et projets d’envergure","Projet institutionnel équipement collectif ou architecture urbaine contemporaine en relation avec l’espace public","panoramic","16:9","2560x1440","hero-equipement-institutionnel.jpg","/images/hero/","Équipement institutionnel ouvert sur l’espace public","official project photograph or licensed contextual image","P0 critical","Photo actuelle: ruelle de médina; ne prouve ni programme public ni projet d’envergure; focal recommandé au tiers droit."
"Accueil","Hero — slide 5","HomeHeroSlider","/images/hero/hero-05.jpg","REPLACE","Transversal / gouvernance","Réunion de coordination autour de plans; revue documentaire; inspection de chantier; mains et documents plutôt que portrait posé","panoramic","16:9","2560x1440","hero-gouvernance-projet.jpg","/images/hero/","Équipe de projet examinant des plans et des documents de coordination","founder/company-owned photograph","P0 critical","Photo actuelle: porte sculptée patrimoniale; cadrage souhaité avec action au centre-droit et zone sombre calme à gauche."
"Accueil","Trois piliers — foncier","PillarCard","/images/hero/hero-03.jpg","REPLACE","Valorisation foncière et territoriale","Vue aérienne parcellaire; plan masse superposé; site en développement ou stratégie d’aménagement","landscape","4:3","1600x1200","pillar-valorisation-fonciere.jpg","/images/pillars/","Vue aérienne d’un site foncier structuré par ses parcelles et ses accès","licensed contextual image or founder/company-owned photograph","P0 critical","Image actuelle patrimoniale et sémantiquement fausse; affichage fixe 4:3."
"Accueil","Trois piliers — architecture","PillarCard","/images/hero/hero-04.jpg","REPLACE","Architecture et projets d’envergure","Bâtiment public contemporain; équipement collectif; chantier coordonné ou plans d’un grand projet","landscape","4:3","1600x1200","pillar-architecture-envergure.jpg","/images/pillars/","Architecture d’un équipement public contemporain au Maroc","official project photograph or licensed contextual image","P0 critical","Image actuelle de médina ancienne; elle renforce à tort le patrimoine."
"Accueil","Trois piliers — patrimoine","PillarCard","/images/hero/hero-02.jpg","KEEP","Valorisation du patrimoine","Intérieur patrimonial restauré ou détail constructif traditionnel clairement attribuable","landscape","4:3","1600x1200","pillar-patrimoine.jpg","/images/pillars/","Intérieur patrimonial marocain restauré et décor traditionnel","licensed contextual image","P1 important","Sujet cohérent; licence à confirmer; source 2:3 recadrée en 4:3. Une photographie officielle de chantier serait préférable à terme."
"Accueil","Références fondatrices — Tinmel","Reference strip","/images/references/tinmel-cover.jpg","KEEP","Valorisation du patrimoine","Vue officielle et validée de la Mosquée de Tinmel","landscape","16:9","1600x900","tinmel-cover.jpg","/images/references/","Mosquée de Tinmel dans son paysage du Haut Atlas","official project photograph","P0 critical","Le sujet paraît correspondre à Tinmel; confirmer provenance droits et attribution; 1000x665 acceptable mais limité."
"Accueil","Références fondatrices — Tiznit","Reference strip","/images/references/tiznit-cover.jpg","REPLACE","Valorisation du patrimoine","Vue officielle de la Kasbah de Tiznit et/ou de la Place Mechouar; espace public identifiable","landscape","16:9","1600x900","tiznit-place-mechouar-cover.jpg","/images/references/","Kasbah de Tiznit et Place Mechouar après valorisation patrimoniale","official project photograph","P0 critical","Le fichier actuel montre une mosquée; il ne permet pas de confirmer la Kasbah ou la Place Mechouar."
